Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Saint Lucia,12989,280,12592.0,117.0,70283,1515,100038.0,541302.0,184810
Saint Martin,3949,56,1399.0,2494.0,99737,1414,54303.0,1371496.0,39594
San Marino,5979,93,5610.0,276.0,175688,2733,90716.0,2665609.0,34032
Sao Tome and Principe,3731,56,3675.0,0.0,16590,249,14689.0,65317.0,224889
Saudi Arabia,549720,8834,538885.0,2001.0,15451,248,31078369.0,873541.0,35577451
Senegal,73987,1885,72088.0,14.0,4261,109,873259.0,50290.0,17364537
Serbia,1252573,11637,1189492.0,51444.0,144177,1339,6797349.0,782408.0,8687725
Seychelles,23197,125,22590.0,482.0,233829,1260,,,99205
Sierra Leone,6402,121,,,780,15,160729.0,19588.0,8205315
Singapore,263486,710,250134.0,12642.0,44544,120,21098774.0,3566878.0,5915194
Sint Maarten,4584,75,4485.0,24.0,105229,1722,62056.0,1424544.0,43562
Slovakia,673015,14341,549104.0,109570.0,123187,2625,4563162.0,835228.0,5463371
Slovenia,418410,5206,374785.0,38419.0,201222,2504,1930022.0,928189.0,2079341
Somalia,23016,1327,12046.0,9643.0,1393,80,262138.0,15871.0,16516763
South Africa,2963679,89822,2849439.0,24418.0,49098,1488,19434381.0,321963.0,60362167
South Sudan,12755,133,12463.0,159.0,1121,12,267096.0,23473.0,11378632
Spain,5153923,88008,4920879.0,145036.0,110173,1881,66213858.0,1415421.0,46780318
Sri Lanka,563267,14328,529662.0,19277.0,26150,665,5640979.0,261886.0,21539836
St. Vincent Grenadines,5525,74,4991.0,460.0,49580,664,90554.0,812603.0,111437
Sudan,42826,3141,32905.0,6780.0,946,69,238579.0,5268.0,45289797
Suriname,50823,1166,29570.0,20087.0,85555,1963,159256.0,268090.0,594040
Sweden,1198848,15113,1158200.0,25535.0,117672,1483,13708481.0,1345547.0,10188038
Switzerland,1001549,11518,860263.0,129768.0,114543,1317,12351333.0,1412576.0,8743836
Syria,48068,2744,29078.0,16246.0,2656,152,103566.0,5722.0,18098765
Taiwan,16596,848,15603.0,145.0,695,36,8350058.0,349703.0,23877563
Tajikistan,17095,124,16966.0,5.0,1737,13,,,9839097
Tanzania,26261,730,,,423,12,,,62126685
Thailand,2115872,20769,2019428.0,75675.0,30206,297,14913135.0,212902.0,70046951
Timor-Leste,19822,122,19697.0,3.0,14642,90,169501.0,125204.0,1353796
Togo,26250,243,25907.0,100.0,3070,28,578042.0,67594.0,8551728
Trinidad and Tobago,70598,2134,57906.0,10558.0,50216,1518,444476.0,316155.0,1405878
Tunisia,717309,25365,690903.0,1041.0,59811,2115,3170783.0,264389.0,11992883
Turkey,8770372,76635,8301883.0,391854.0,102436,895,107321500.0,1253494.0,85617869
Turks and Caicos,3096,24,3021.0,51.0,78469,608,94789.0,2402458.0,39455
UAE,741976,2146,736862.0,2968.0,73764,213,101032600.0,10044237.0,10058763
Uganda,127485,3252,97847.0,26386.0,2669,68,1953083.0,40884.0,47771484
UK,10189059,144810,9025773.0,1018476.0,148987,2117,361428446.0,5284910.0,68388756
Ukraine,3427827,85414,2920714.0,421699.0,79049,1970,15832613.0,365117.0,43363093
Uruguay,399504,6130,391288.0,2086.0,114448,1756,4098744.0,1174188.0,3490704
USA,49301070,801326,39032255.0,9467489.0,147723,2401,752495440.0,2254743.0,333738930
Uzbekistan,193065,1399,189664.0,2002.0,5653,41,1377915.0,40346.0,34152427
Venezuela,431296,5144,418472.0,7680.0,15228,182,3359014.0,118600.0,28322293
Vietnam,1224110,25055,974724.0,224331.0,12418,254,68108275.0,690943.0,98572901
Yemen,9995,1949,6873.0,1173.0,325,63,265253.0,8626.0,30750390
Zambia,210150,3667,206392.0,91.0,10998,192,2716971.0,142191.0,19107963
Zimbabwe,134226,4706,128703.0,817.0,8849,310,1588646.0,104739.0,15167676
